,Date,Rainfall,Ane,Bhadalwadi,Bukum,Dhumalwadi,Dorlewadi,Jejuri,Junnar,Karanje,Kolwan,Lonawala,Loni (Ambegaon),Mulshi,Narayangaon,Narayanpur,Nimbgaon-Ketke,Otur,Pangre Sailar Basti,Parne,Patas,Pimpri (Kh) Malvasti,Pune,Rajgurnagar (Khed),Sakurde,Shivpur Khed,Undavri Kade Pathar,Wehle,Khutbhav_Pz,Mahalunge Padval_Pz,Pabal New,Kharabwadi,Shikrapur,Ausari Khurd-1,Kamatwadi-Walha,Kamshet,Kasurdi-1,Kolawade,Ale-1,Belhe-1,Khadki,Wagholi-1,Zendewadi-1,Month,Year
224,2018-09-01,1.3045233333333333,7.205200000000007,4.178800000000001,0.5898000000000002,7.140200000000004,4.139999999999998,2.0511000000000017,5.8106999999999935,4.979199999999999,1.5235999999999992,0.6896999999999999,4.546499999999999,0.34400000000000047,7.342099999999999,0.034199999999999904,10.459199999999985,13.569199999999984,5.243800000000004,5.385900000000004,1.558,4.886299999999999,4.117000000000001,1.4237,4.356500000000001,1.1702000000000012,5.938699999999998,0.2292000000000003,8.909700000000004,4.8809000000000005,7.175399999999999,7.344999999999999,5.5653,3.3113999999999986,9.8913,0.11989999999999981,0.9821000000000002,1.2751999999999997,10.640500000000007,12.903200000000004,1.7542999999999995,2.2596000000000016,5.194400000000004,9,2018
225,2018-10-01,1.1076354838709677,5.920400000000002,3.7169,0.8135999999999999,5.9112,3.5044,0.9235999999999995,4.8665999999999965,2.9438999999999993,1.8029999999999993,0.9804999999999993,2.8214999999999977,0.41870000000000046,6.527300000000002,0.08469999999999989,9.435399999999994,12.148899999999994,4.139500000000001,3.257799999999998,1.651899999999999,4.361499999999999,4.442900000000001,1.781499999999998,1.4335000000000002,1.2122000000000008,4.721999999999998,0.2355000000000004,7.768400000000007,5.0398,3.3807000000000005,5.569700000000001,2.3438000000000003,3.290099999999997,9.057699999999997,0.23509999999999986,1.0427999999999995,1.6489000000000005,6.614,8.86300000000001,1.7499999999999998,1.9321000000000013,5.124400000000001,10,2018
226,2018-11-01,0.0900499999999999,5.652900000000004,4.394100000000003,0.3300999999999999,7.320100000000008,3.3273999999999995,1.9265999999999999,5.098599999999996,2.653699999999998,2.083299999999999,1.2049999999999987,2.659999999999998,1.1930000000000016,6.647500000000007,1.1366000000000005,7.2673000000000005,13.173799999999996,4.763900000000003,3.2650999999999994,1.8027999999999984,4.5464999999999955,3.0115,2.2798999999999983,1.4793,1.5682999999999987,5.598799999999999,0.4689000000000003,7.768000000000008,5.975600000000003,2.9614000000000003,5.1186,1.4909000000000021,6.497599999999997,8.488599999999998,3.283,1.5480000000000005,1.7619000000000002,5.757000000000008,8.197700000000008,2.4146999999999994,2.4942000000000006,6.207500000000007,11,2018
227,2018-12-01,0.001,5.164800000000005,3.069499999999999,0.4581000000000002,6.880800000000007,3.2439999999999993,1.8765,4.6044999999999945,2.690199999999997,2.136299999999999,1.4095999999999997,2.5380999999999974,1.0359000000000016,6.655300000000003,0.8519000000000005,6.9242,12.422699999999997,5.076099999999999,3.511299999999999,1.5955000000000004,4.522499999999999,3.6556999999999977,2.8357999999999994,1.7039,2.1001999999999965,5.567799999999998,0.6614000000000009,8.740300000000008,6.199400000000005,2.6502000000000003,4.6838,1.863100000000001,5.185,9.9773,2.700599999999998,3.6370999999999984,2.0885000000000002,5.781000000000007,8.308100000000008,2.463999999999998,2.391099999999999,8.030400000000004,12,2018
228,2019-01-01,0.001,8.4,1.4,2.2,10.08,5.6,5.55,3.6,3.94,2.4,1.63,6.07,0.01,7.3,7.16,9.69,16.5,6.85,6.96,1.74,5.68,5.55,1.75,3.85,5.77,8.79,1.25,11.113800000000003,5.88,8.17,7.0,6.83,7.6,11.0,1.03,2.7,3.25,8.0,10.5,4.28,6.13,15.25,1,2019
229,2019-02-01,0.001,7.380899999999992,2.3606000000000025,2.360699999999997,9.07580000000001,4.894500000000005,4.2467000000000015,4.8700000000000045,4.228099999999997,2.316000000000001,1.8652999999999986,4.815599999999998,0.10049999999999988,7.244899999999994,5.321500000000006,10.881900000000014,16.513500000000004,6.419300000000006,6.480200000000001,1.796300000000001,5.395900000000001,5.759300000000001,2.3737999999999992,3.717000000000001,5.382599999999993,8.220499999999992,1.1757000000000004,11.113800000000003,5.5887,6.397599999999995,6.8462,6.286000000000005,7.171100000000009,11.1538,0.9927000000000009,3.633999999999994,3.1286,8.331400000000002,11.700700000000007,4.098499999999995,5.799099999999998,14.365800000000004,2,2019
230,2019-03-01,0.001,7.380899999999992,2.3606000000000025,2.360699999999997,9.07580000000001,4.894500000000005,4.2467000000000015,4.8700000000000045,4.228099999999997,2.316000000000001,1.8652999999999986,4.815599999999998,0.10049999999999988,7.244899999999994,5.321500000000006,10.881900000000014,16.513500000000004,6.419300000000006,6.480200000000001,1.796300000000001,5.395900000000001,5.759300000000001,2.3737999999999992,3.717000000000001,5.382599999999993,8.220499999999992,1.1757000000000004,11.113800000000003,5.5887,6.397599999999995,6.8462,6.286000000000005,7.171100000000009,11.1538,0.9927000000000009,3.633999999999994,3.1286,8.331400000000002,11.700700000000007,4.098499999999995,5.799099999999998,14.365800000000004,3,2019
231,2019-04-01,0.0665066666666666,9.753900000000014,5.287599999999998,5.975900000000007,11.502000000000004,6.136499999999995,5.680400000000003,7.8836999999999975,5.211699999999999,3.565199999999998,2.0676,6.065499999999994,0.4813999999999994,7.3913,7.025200000000002,11.795000000000009,19.2686,7.299800000000002,6.913399999999997,2.219499999999997,5.209399999999995,4.459799999999998,2.576700000000002,5.928899999999996,6.8945000000000025,8.505999999999991,1.4315000000000004,11.39530000000001,5.7338,7.441,8.169299999999993,7.040999999999992,7.618299999999998,9.637499999999998,1.160700000000001,3.6109999999999958,4.4845000000000015,10.404199999999994,14.075999999999999,4.386199999999998,6.603299999999999,12.844300000000011,4,2019
232,2019-05-01,0.001,9.7,7.7,2.7,14.1,5.8,5.2,8.9,5.2,5.9,2.1,5.0,0.01,6.7,8.7,14.5,21.0,5.2,7.5,2.7,5.4,6.2,3.3,7.1,6.5,8.79,1.2,11.78710000000001,5.9399000000000015,7.454499999999999,9.89,7.9,3.1,15.0,0.7,3.5428999999999933,5.4,12.9,18.0,5.1,9.9,14.7,5,2019
233,2019-06-01,6.909166666666667,6.968900000000006,1.799500000000001,5.442000000000007,8.5411,4.076200000000001,5.040999999999998,6.081099999999997,4.975199999999999,3.2984999999999984,2.1176999999999984,4.724500000000003,0.20450000000000032,5.0944,7.121300000000007,12.2118,16.09390000000001,4.332800000000001,6.176000000000001,1.6130000000000007,4.534700000000001,5.6239,1.7689999999999986,7.199400000000004,6.919699999999997,7.929899999999993,1.6080999999999994,10.102999999999998,4.008500000000004,3.7943000000000024,4.5908,5.444300000000003,3.0489999999999986,9.882900000000006,0.377,4.806499999999996,4.868300000000005,7.612899999999994,13.204400000000014,3.5931000000000006,4.7701999999999956,8.7985,6,2019
