,Date,Rainfall,Ane,Bhadalwadi,Bukum,Dhumalwadi,Dorlewadi,Jejuri,Junnar,Karanje,Kolwan,Lonawala,Loni (Ambegaon),Mulshi,Narayangaon,Narayanpur,Nimbgaon-Ketke,Otur,Pangre Sailar Basti,Parne,Patas,Pimpri (Kh) Malvasti,Pune,Rajgurnagar (Khed),Sakurde,Shivpur Khed,Undavri Kade Pathar,Wehle,Khutbhav_Pz,Mahalunge Padval_Pz,Pabal New,Kharabwadi,Shikrapur,Ausari Khurd-1,Kamatwadi-Walha,Kamshet,Kasurdi-1,Kolawade,Ale-1,Belhe-1,Kamunde,Khadki,Wagholi-1,Zendewadi-1,Month,Year
10,2002-08-01,3.604793548387097,5.35,1.49,0.46,13.61,6.62,7.11,1.21,7.73,0.94,0.01,3.27,1.82,5.26,0.05,9.47159999999999,16.12,6.57,5.84,1.48,4.15,3.61,1.37,2.33,2.01,7.95,0.46,12.49,6.9839999999999955,2.253499999999998,6.098099999999995,2.929399999999996,6.149900000000003,8.811999999999994,1.042300000000001,2.6333000000000015,2.9929999999999977,8.16070000000001,11.673299999999998,6.045399999999994,1.837400000000001,5.319900000000002,4.157300000000001,8,2002
11,2002-11-01,0.0169633333333333,5.5,1.0,0.55,10.0,3.7,6.6,3.4,7.8,1.25,1.3,5.7,1.85,6.2,2.1,9.0,15.0,8.0,7.3,1.4,3.6,5.2,2.4,3.1,5.5,8.1,1.8,10.9,8.604900000000006,1.5546000000000006,6.417699999999992,3.025199999999997,9.432500000000003,8.285199999999987,4.197399999999996,4.325200000000006,3.715799999999997,5.784000000000003,4.601600000000004,6.506900000000002,3.381099999999997,5.393100000000003,7.275200000000005,11,2002
12,2003-01-01,0.001,7.65,1.25,0.87,9.6,5.55,7.4,4.7,7.45,1.37,1.5,7.3,2.0,6.4,8.5,11.8,17.9,7.05,5.67,1.1,5.9,5.95,2.15,4.35,6.45,8.26,2.25,10.8,5.883000000000002,1.926899999999999,6.970399999999997,4.047599999999998,7.197700000000002,8.984500000000006,3.886800000000002,5.521300000000008,4.306300000000003,10.78309999999999,13.009299999999994,7.09019999999999,4.8556,4.315099999999998,11.426599999999993,1,2003
13,2003-05-01,0.001,11.4,6.35,3.6972999999999963,12.3,6.35,7.15,5.4,7.95,4.6,1.6,9.38,2.4,6.9,8.1243,11.918299999999995,18.3,6.830500000000005,8.52,1.8,6.25,5.39,1.25,4.6,7.35,8.65,2.3,14.15,6.9222,3.443300000000001,7.813999999999993,4.811400000000003,8.104900000000002,9.082299999999996,3.9590000000000005,5.165300000000006,4.872100000000002,11.380999999999998,15.136700000000008,7.272199999999991,5.172000000000001,5.0036,11.6632,5,2003
14,2003-08-01,2.74703870967742,6.359699999999998,5.3,0.4,12.25,6.15,7.25,1.35,8.0,1.2,0.01,4.0,1.8,5.55,1.3,9.574299999999992,16.5,8.0,8.17,0.95,4.95,3.55,1.3,4.85,5.75,8.6,0.55,13.52,6.982899999999995,2.4841999999999986,6.616899999999994,3.7241999999999944,6.184100000000004,8.081799999999994,1.130000000000001,2.882700000000001,3.027499999999997,8.370200000000006,11.641899999999998,6.230599999999994,2.0108000000000015,5.326500000000002,4.040000000000001,8,2003
15,2003-11-01,0.07087,5.887699999999999,4.1,0.5,13.7,6.1,7.5,3.45,8.0,1.0,1.2,6.25,1.95,6.2,2.3,11.0,16.4,8.0,7.8,2.55,5.0,4.0,2.0,3.0,4.623500000000003,8.5,0.7,11.6,8.449900000000003,1.6282000000000008,6.417699999999992,3.025199999999997,9.432500000000003,8.285199999999987,4.197399999999996,4.325200000000006,3.715799999999997,5.784000000000003,4.601600000000004,6.506900000000002,3.381099999999997,5.393100000000003,7.275200000000005,11,2003
16,2004-01-01,0.0043999999999999,7.1,7.8,0.72,11.65,7.31,6.9,4.5,7.3,1.25,1.6,9.65,1.72,6.9,8.1,13.54,20.3,8.0,7.57,1.65,4.95,2.4,1.57,9.6,6.43,8.8,1.5,11.08,5.883000000000002,2.3253999999999984,6.963099999999997,4.047599999999998,7.0906,8.984500000000006,3.886800000000002,5.521300000000008,4.306300000000003,10.719199999999992,13.009299999999994,7.0814999999999895,4.8556,4.339099999999999,10.445299999999992,1,2004
17,2004-05-01,1.922041935483871,11.32,0.45,4.1,12.15,6.74,7.46,5.1,7.47,3.4,2.02,9.65,2.13,6.92,8.72,13.54,19.1,8.0,9.27,1.32,6.82,2.92,2.28,7.82,10.45,8.8,2.5,12.21,6.634999999999995,3.7627000000000006,7.598399999999993,4.282799999999995,7.956500000000009,8.941599999999996,2.2052000000000005,5.2758,5.071700000000005,10.791200000000005,14.48,9.4685,4.5415,5.067699999999999,8.434099999999997,5,2004
18,2005-01-01,0.2368612903225806,4.9,1.1,1.3,4.5,2.8,3.5,4.7,7.4,1.1,1.6,3.4,1.4,6.7,2.36,12.95,16.8,3.2,7.1,1.6,5.1,7.2,2.4,3.0,7.0,3.4,3.35,11.35,8.464399999999992,2.365799999999999,7.1466999999999965,4.342999999999996,9.40210000000001,9.816199999999998,3.677999999999999,4.321200000000004,4.2973000000000035,10.841799999999994,13.738499999999997,9.515199999999993,5.286299999999999,4.460400000000001,9.288499999999997,1,2005
19,2005-05-01,0.1356129032258064,6.85,7.8,3.0,12.8,6.95,5.0,5.42,7.3,2.1,2.15,9.65,2.2,8.15,8.72,13.54,17.45,7.8,8.12,1.55,6.8,3.93,1.85,4.4,11.0,6.55,2.47,12.55,10.4894,3.9572000000000025,7.730299999999992,5.204099999999999,9.989600000000003,9.926699999999988,4.489599999999997,4.091300000000004,4.902600000000006,11.262400000000007,15.738600000000012,7.848399999999987,5.424899999999996,5.249999999999997,11.4697,5,2005
20,2005-08-01,62.74114838709677,2.85,0.23,0.3,8.34,5.05,1.33,0.5,6.52,0.9,0.1,2.7,0.2,4.15,0.1,7.8,14.54,2.63,4.42,0.74,4.45,1.15,0.67,0.08,1.27,2.9,0.18,6.79,7.224999999999989,2.723499999999995,6.500999999999988,3.295199999999996,6.115900000000002,8.847999999999999,0.8788000000000004,2.4693000000000023,3.068599999999999,5.6304,4.294000000000005,4.277099999999997,1.387799999999998,5.248700000000001,3.3469999999999986,8,2005
21,2005-11-01,0.001,4.68,2.0,0.32,6.55,2.65,0.45,2.05,3.55,1.2,0.73,2.55,2.0368,4.33,0.08,5.76,12.08,3.45,3.37,1.3,4.07,1.55,1.52,0.33,0.6,2.85,0.6,9.23,8.582000000000006,1.3705999999999998,6.51569999999999,2.976999999999997,8.025100000000004,7.79639999999999,3.759399999999997,5.511500000000008,3.6877999999999957,5.784000000000003,4.421400000000005,6.441700000000002,3.2026999999999974,5.257800000000004,8.198400000000003,11,2005
22,2006-01-01,0.001,5.22,0.01,0.8,5.07,4.15,3.78,4.35,7.5,0.95,1.28,3.45,1.05,6.15,2.75,8.9,12.3,5.4,5.47,1.52,5.45,3.7,2.28,2.84,3.81,3.78,2.55,10.639,5.883000000000002,1.926899999999999,6.970399999999997,4.047599999999998,7.197700000000002,8.984500000000006,3.886800000000002,5.521300000000008,4.306300000000003,10.78309999999999,13.009299999999994,7.09019999999999,4.8556,4.315099999999998,11.426599999999993,1,2006
