DateTime,Month,Rainfall
2009-04,2009-04-15 12:00:00,0.061579999999999996
2009-05,2009-05-16 00:00:00,0.7233451612903226
2009-06,2009-06-15 12:00:00,7.9429099999999995
2009-07,2009-07-16 00:00:00,59.92527419354838
2009-08,2009-08-16 00:00:00,19.448474193548385
2009-09,2009-09-15 12:00:00,16.69122666666667
2009-10,2009-10-16 00:00:00,7.155948387096774
2009-11,2009-11-15 12:00:00,7.109673333333333
2009-12,2009-12-16 00:00:00,0.0
2010-01,2010-01-16 00:00:00,0.020264516129032257
2010-02,2010-02-14 12:00:00,0.0
2010-03,2010-03-16 00:00:00,0.698516129032258
2010-04,2010-04-15 12:00:00,0.00969
2010-05,2010-05-16 00:00:00,0.17361612903225804
2010-06,2010-06-15 12:00:00,9.442746666666666
2010-07,2010-07-16 00:00:00,7.538254838709678
2010-08,2010-08-16 00:00:00,6.556296774193549
2010-09,2010-09-15 12:00:00,3.6560600000000005
2010-10,2010-10-16 00:00:00,7.863116129032258
2010-11,2010-11-15 12:00:00,1.6029733333333334
2010-12,2010-12-16 00:00:00,0.0
2011-01,2011-01-16 00:00:00,0.0
2011-02,2011-02-14 12:00:00,0.0
2011-03,2011-03-16 00:00:00,0.0264
2011-04,2011-04-15 12:00:00,0.0
2011-05,2011-05-16 00:00:00,0.05632258064516129
2011-06,2011-06-15 12:00:00,10.927533333333335
2011-07,2011-07-16 00:00:00,30.096635483870966
2011-08,2011-08-16 00:00:00,14.395122580645161
2011-09,2011-09-15 12:00:00,13.818343333333333
2011-10,2011-10-16 00:00:00,4.553609677419355
2011-11,2011-11-15 12:00:00,0.0
2011-12,2011-12-16 00:00:00,0.0
2012-01,2012-01-16 00:00:00,0.0
2012-02,2012-02-15 00:00:00,0.0
2012-03,2012-03-16 00:00:00,0.0
2012-04,2012-04-15 12:00:00,0.49951666666666666
2012-05,2012-05-16 00:00:00,0.0
2012-06,2012-06-15 12:00:00,7.242570000000001
2012-07,2012-07-16 00:00:00,14.530645161290321
2012-08,2012-08-16 00:00:00,16.433625806451612
2012-09,2012-09-15 12:00:00,11.52991
2012-10,2012-10-16 00:00:00,5.131554838709678
2012-11,2012-11-15 12:00:00,0.0
2012-12,2012-12-16 00:00:00,0.0
2013-01,2013-01-16 00:00:00,0.0
2013-02,2013-02-14 12:00:00,0.0
2013-03,2013-03-16 00:00:00,0.08320645161290322
2013-04,2013-04-15 12:00:00,0.0
2013-05,2013-05-16 00:00:00,0.012561290322580645
2013-06,2013-06-15 12:00:00,9.29982
2013-07,2013-07-16 00:00:00,6.323261290322581
2013-08,2013-08-16 00:00:00,1.5253193548387096
2013-09,2013-09-15 12:00:00,7.367126666666667
2013-10,2013-10-16 00:00:00,1.1743870967741936
2013-11,2013-11-15 12:00:00,0.44939666666666667
2013-12,2013-12-16 00:00:00,0.058109677419354834
2014-01,2014-01-16 00:00:00,0.0
2014-02,2014-02-14 12:00:00,0.005925
2014-03,2014-03-16 00:00:00,0.3871612903225807
2014-04,2014-04-15 12:00:00,0.19594333333333333
2014-05,2014-05-16 00:00:00,0.351358064516129
2014-06,2014-06-15 12:00:00,0.43931000000000003
2014-07,2014-07-16 00:00:00,9.06231935483871
2014-08,2014-08-16 00:00:00,8.962396774193548
2014-09,2014-09-15 12:00:00,4.0352500000000004
2014-10,2014-10-16 00:00:00,0.8876935483870968
2014-11,2014-11-15 12:00:00,0.8675133333333332
2014-12,2014-12-16 00:00:00,1.5619064516129033
2015-01,2015-01-16 00:00:00,0.0
2015-02,2015-02-14 12:00:00,0.0
2015-03,2015-03-16 00:00:00,1.917441935483871
2015-04,2015-04-15 12:00:00,0.0064199999999999995
2015-05,2015-05-16 00:00:00,3.378029032258065
2015-06,2015-06-15 12:00:00,8.71474
2015-07,2015-07-16 00:00:00,2.156503225806451
2015-08,2015-08-16 00:00:00,0.7884709677419355
2015-09,2015-09-15 12:00:00,4.581626666666667
2015-10,2015-10-16 00:00:00,2.4690935483870966
2015-11,2015-11-15 12:00:00,3.568833333333333
2015-12,2015-12-16 00:00:00,0.0
2016-01,2016-01-16 00:00:00,0.0
2016-02,2016-02-15 00:00:00,0.0
2016-03,2016-03-16 00:00:00,0.4375193548387097
2016-04,2016-04-15 12:00:00,0.0423
2016-05,2016-05-16 00:00:00,0.2800741935483871
2016-06,2016-06-15 12:00:00,2.1199600000000003
2016-07,2016-07-16 00:00:00,7.838596774193548
2016-08,2016-08-16 00:00:00,7.870606451612903
2016-09,2016-09-15 12:00:00,2.10518
2016-10,2016-10-16 00:00:00,1.9316806451612905
2016-11,2016-11-15 12:00:00,0.0
2016-12,2016-12-16 00:00:00,0.0
2017-01,2017-01-16 00:00:00,0.0
2017-02,2017-02-14 12:00:00,0.0
2017-03,2017-03-16 00:00:00,0.0
2017-04,2017-04-15 12:00:00,0.0
2017-05,2017-05-16 00:00:00,0.2739161290322581
2017-06,2017-06-15 12:00:00,5.911303333333334
2017-07,2017-07-16 00:00:00,7.053729032258064
2017-08,2017-08-16 00:00:00,5.413703225806452
2017-09,2017-09-15 12:00:00,5.224693333333334
2017-10,2017-10-16 00:00:00,5.272848387096775
2017-11,2017-11-15 12:00:00,0.42116666666666663
2017-12,2017-12-16 00:00:00,0.08684838709677419
2018-01,2018-01-16 00:00:00,0.0
2018-02,2018-02-14 12:00:00,0.0
2018-03,2018-03-16 00:00:00,0.0060161290322580645
2018-04,2018-04-15 12:00:00,0.021493333333333333
2018-05,2018-05-16 00:00:00,0.009983870967741936
2018-06,2018-06-15 12:00:00,5.3703433333333335
2018-07,2018-07-16 00:00:00,6.522554838709678
2018-08,2018-08-16 00:00:00,3.168925806451613
2018-09,2018-09-15 12:00:00,1.3045233333333333
2018-10,2018-10-16 00:00:00,1.1076354838709677
2018-11,2018-11-15 12:00:00,0.09004999999999999
2018-12,2018-12-16 00:00:00,0.0
2019-01,2019-01-16 00:00:00,0.0
2019-02,2019-02-14 12:00:00,0.0
2019-03,2019-03-16 00:00:00,0.0
2019-04,2019-04-15 12:00:00,0.06650666666666667
2019-05,2019-05-16 00:00:00,0.0
2019-06,2019-06-15 12:00:00,6.909166666666667
2019-07,2019-07-16 00:00:00,12.81462258064516
2019-08,2019-08-16 00:00:00,7.257287096774194
2019-09,2019-09-15 12:00:00,9.26127
2019-10,2019-10-16 00:00:00,9.12245806451613
2019-11,2019-11-15 12:00:00,3.0002100000000005
2019-12,2019-12-16 00:00:00,0.030083870967741934
2020-01,2020-01-16 00:00:00,0.0
2020-02,2020-02-15 00:00:00,0.0
2020-03,2020-03-16 00:00:00,0.2959645161290323
2020-04,2020-04-15 12:00:00,0.006733333333333333
2020-05,2020-05-16 00:00:00,0.7483322580645162
2020-06,2020-06-15 12:00:00,6.6326833333333335
2020-07,2020-07-16 00:00:00,3.8363032258064513
2020-08,2020-08-16 00:00:00,8.463019354838709
2020-09,2020-09-15 12:00:00,7.0826633333333335
2020-10,2020-10-16 00:00:00,10.24466129032258
2020-11,2020-11-15 12:00:00,0.17554333333333333
2020-12,2020-12-16 00:00:00,0.12753225806451612
2021-01,2021-01-16 00:00:00,1.0608612903225807
2021-02,2021-02-14 12:00:00,0.010985714285714284
2021-03,2021-03-16 00:00:00,0.07046129032258064
2021-04,2021-04-15 12:00:00,1.0893266666666668
2021-05,2021-05-16 00:00:00,2.8686967741935483
2021-06,2021-06-15 12:00:00,4.820033333333333
2021-07,2021-07-16 00:00:00,7.299054838709678
2021-08,2021-08-16 00:00:00,1.1760935483870967
2021-09,2021-09-15 12:00:00,2.8431833333333336
2021-10,2021-10-16 00:00:00,4.139209677419355
2021-11,2021-11-15 12:00:00,0.6768466666666666
2021-12,2021-12-16 00:00:00,2.545741935483871
2022-01,2022-01-16 00:00:00,0.005803225806451613
2022-02,2022-02-14 12:00:00,0.0
2022-03,2022-03-16 00:00:00,0.05867096774193548
2022-04,2022-04-15 12:00:00,0.0
2022-05,2022-05-16 00:00:00,0.013158064516129032
2022-06,2022-06-15 12:00:00,1.09016
2022-07,2022-07-16 00:00:00,12.641651612903226
2022-08,2022-08-16 00:00:00,5.270874193548387
2022-09,2022-09-15 12:00:00,6.83995
2022-10,2022-10-16 00:00:00,8.974012903225807
2022-11,2022-11-15 12:00:00,0.0
2022-12,2022-12-16 00:00:00,0.03145806451612903
2023-01,2023-01-16 00:00:00,0.0
