station,Ane,Bhadalwadi,Bukum,Dhumalwadi,Dorlewadi,Jejuri,Junnar,Karanje,Kolwan,Lonawala,Loni (Ambegaon),Mulshi,Narayangaon,Narayanpur,Nimbgaon-Ketke,Otur,Pangre Sailar Basti,Parne,Patas,Pimpri (Kh) Malvasti,Pune,Rajgurnagar (Khed),Sakurde,Shivpur Khed,Undavri Kade Pathar,Wehle,Khutbhav_Pz,Mahalunge Padval_Pz,Pabal New,Kharabwadi,Shikrapur,Ausari Khurd-1,Kamatwadi-Walha,Kamshet,Kasurdi-1,Kolawade,Ale-1,Belhe-1,Kamunde,Khadki,Wagholi-1,Zendewadi-1,Baramati,Khutbhav_1,Parawadi,Kauthe_1,Khadakwasala_3
2005-11-01 00:00:00,4.68,2,0.32,6.55,2.65,0.45,2.05,3.55,1.2,0.73,2.55,,4.33,0.08,5.76,12.08,3.45,3.37,1.3,4.07,1.55,1.52,0.33,0.6,2.85,0.6,9.23,,,,,,,,,,,,,,,,,,,,
2006-01-01 00:00:00,5.22,0.01,0.8,5.07,4.15,3.78,4.35,7.5,0.95,1.28,3.45,1.05,6.15,2.75,8.9,12.3,5.4,5.47,1.52,5.45,3.7,2.28,2.84,3.81,3.78,2.55,,,,,,,,,,,,,,,,,,,,,
2006-05-01 00:00:00,6.4,,,6.5,3.8,5.9,6.3,6.7,2.65,1.7,5.2,,8.7,8.72,13.54,16.8,3.8,9.6,1.8,6.1,7.5,2.3,9.6,7.8,3.6,,16.8,,,,,,,,,,,,,,,,,,,,
2006-08-01 00:00:00,1.35,0.67,0.42,11.8,1.7,0.58,0.5,1.57,0.9,0.95,1,,3.7,0.15,7.3,9.9,3.93,2.87,0.68,1.47,1.9,0.7,0.95,0.29,2.55,0.56,9.64,,,,,,,,,,,,,,,,,,,,
2006-11-01 00:00:00,5.1,3.25,2.15,3.5,4.25,1.3,5.2,3.15,2,1.2,4.35,,6.1,1,8.4,14.2,5.2,4.8,3.22,4.23,6.15,2.45,3.45,1.69,3.65,1.4,9.55,,,,,,,,,,,,,,,,,,,,
2007-01-01 00:00:00,5,,,,,,,,,,,,7.95,,9.8,16.85,,,1.8,4.15,,2.35,3.2,7.1,,,,,,,,,,,,,,,,,,,,,,,
2007-05-01 00:00:00,6.35,0.2,2.65,12.15,4.8,3.8,4.9,5.65,2.05,1.63,7.8,2.5,6.1,7,12.05,12.3,8,8.97,1.15,4.05,5.15,1.8,3.15,6.05,6.3,1.5,11.8,,,,,,,,,,,,,,,,,,,,
2007-08-01 00:00:00,4.92,1.85,1.1,9.85,3.25,0.9,1.94,3.9,1.5,1.1,3.24,0.9,5.65,1,,12.94,3.8,6.38,1.5,5.15,0.9,2.15,1.95,1.3,2.4,1.3,12.1,8.4,,,,,,,,,,,,,,,,,,,
2007-11-01 00:00:00,5.1,4.75,2.4,7.6,4.1,1.6,8.5,3,2.1,3.2,4.7,2.4,6.1,1.8,8.4,15.6,5.9,6,2.4,4.1,6.1,3.45,3.4,4.8,3.45,2.3,12.1,9.7,,,,,,,,,,,,,,,,,,,
2008-01-01 00:00:00,5.3,2.6,0.6,5.7,4,5,4,3.5,2.35,1.65,3.95,1.6,5.3,4.45,6.75,12.1,7.55,5.77,1.3,5.1,4.75,1.5,2.7,6.9,3.65,2.3,9.9,4.8,,,,,,,,,,,,,,,,,,,
2008-05-01 00:00:00,6.15,2,2.3,9,4.85,4.35,4.4,5.05,0.8,0.2,8,2.5,5.9,6.55,11.75,14.1,8,9.17,1.85,5.6,3.05,2,5.35,7.1,6.1,0.55,10.35,5.3,,,,,,,,,,,,,,,,,,,
2008-08-01 00:00:00,6.35,1.25,1,10.7,5.2,6.1,1.25,5.5,0.3,0.3,6.9,1.1,4.65,0.01,9,13.45,6.9,7.57,1.7,5.3,2.7,1.2,3.8,1.15,7,0.55,13.5,4.3,,,,,,,,,,,,,,,,,,,
2008-11-01 00:00:00,3.95,0.3,0.35,5.05,4.25,2.1,2.7,4.85,1.05,1.6,2.85,1.7,5.45,0.2,6.7,12.65,3.15,5.92,1.4,3.25,3.95,1.5,1.05,0.95,3.45,0.5,11.35,7,,,,,,,,,,,,,,,,,,,
2009-01-01 00:00:00,4.85,3.3,0.6,4,4.15,1.95,4.05,4.1,1.1,2.05,5.15,2.05,5.95,3.1,8.68,12.5,7.3,6.4,1.8,4.48,3.05,1.85,2.88,6.65,4.95,1.67,12.1,5.1,,,,,,,,,,,,,,,,,,,
2009-05-01 00:00:00,5.97,1.2,2.4,8,5,,4.75,6.2,2.79,1.5,6.85,2.17,6.82,6.25,11.28,13.8,7.5,7.22,1.89,5.7,4.8,1.68,8.85,6.65,6.95,2.1,12.6,5.92,,,,,,,,,,,,,,,,,,,
2009-08-01 00:00:00,7.6,1.4,0.33,6.3,2.25,1.4,2.5,1.55,0.72,0.7,1.93,0.5,5.84,,3.7,14.1,3.75,8.49,1.35,2.3,2.3,1.16,2.7,0.82,3.92,0.3,,,,,,,,,,,,,,,,,,,,,
2009-11-01 00:00:00,,0.8,,5.3,2.25,1.2,2.3,3.4,1.35,1.45,2.1,0.9,7.3,0.4,4.8,14.8,3.65,5.37,1.6,4.6,5.35,3.65,1.4,1.9,4,0.05,,,0.7,,,,,,,,,,,,,,,,,,
2010-01-01 00:00:00,,,0.4,8,3.5,0.5,3.45,5.1,1.8,2.6,2.5,2.1,5.85,,7.2,14.2,3.8,4.75,1.15,4.2,3.2,2.3,,3.2,2.9,0.5,10.34,8.2,2,,,,,,,,,,,,,,,,,,
2010-05-01 00:00:00,4.55,7.8,2.3,5.4,7.31,4.25,5.1,10.4,3.2,2.4,5.8,3.7,6.9,8.72,13.54,15.2,8.35,7.35,2.7,3.4,5.4,2.1,4.45,11,6.55,2,,17.2,,,,,,,,,,,,,,,,,,,
2010-08-01 00:00:00,5.5,0.6,,7.05,3.2,0.3,2.85,3.1,2.2,,4.1,,5.5,0.9,6.8,15.1,1.6,6.6,2.3,3.2,1.2,2.45,1.4,2.1,2.3,0.9,,6.7,1.2,,,,,,,,,,,,,,,,,,
2010-11-01 00:00:00,4.35,1.2,0.2,6.4,3,0.4,2.35,3.1,2.1,2.2,3.2,1.2,6.55,0.65,6.4,15.05,4.9,5.9,2.4,3.1,1.5,1.9,1.25,1.45,4.9,1.05,,8.85,0.9,,,,,,,,,,,,,,,,,,
2011-01-01 00:00:00,5.85,2,2.3,6.52,5.6,0.4,4.2,6.3,2.2,3.68,2.3,3.45,7.2,0.7,8.56,14.35,5.38,6.23,1.85,3.95,2.65,2.7,5.36,3.22,3.65,1.1,2.3,7.4,1.2,,,,,,,,,,,,,,,,,,
2011-05-01 00:00:00,,,5.2,7.41,,3.2,3.85,9.95,1.8,2.1,5.4,,7.45,7.45,,20.18,8.25,6.95,2.05,2.15,6.27,1.65,4.4,3.85,4.85,0.4,11.2,6.9,4.29,,,,,,,,,,,,,,,,,,
2011-08-01 00:00:00,6,1.15,,4.85,0.5,0.9,2.75,4.3,0.9,1.2,1.65,,6.2,,8.9,15.9,3.1,6.95,1.05,3,0.2,1.56,1.2,2.2,6.75,0.6,,6.9,,7.9,3.2,,,,,,,,,,,,,,,,
2011-11-01 00:00:00,5.85,3.1,1.45,4.85,0.65,2.15,4.1,3.52,1.35,1.9,2.45,1.2,5.3,1.95,9.15,15.65,3.45,6.45,1.1,3.1,1.68,1.35,2.65,1.3,4.4,0.9,,8.9,1,7.15,3.2,,,,,,,,,,,,,,,,
2012-01-01 00:00:00,7.9,4.95,0.98,6.15,1.15,6.45,4.85,3.69,2.1,2.45,2.65,2.35,6.15,3.9,11.9,15.4,4.9,6.1,2.9,4.9,3.35,2.25,,3.8,5.95,1.25,2.3,11.5,2.3,7.38,4.25,,,,,,,,,,,,,,,,
